"legacy_id","legacy_customer_id","new_customer_uuid","new_customer_code","new_traveller_uuid","customer_type","deduplicated_to_legacy_id","association_method"
"1899","10397","e1cadebf-5c02-56ea-a313-756d9f79be8d","LEGACY-10397-1899-E4C282AF","","RETAIL","","INDIVIDUAL"
"1900","22946","785e2619-2a5f-5bdc-af87-af10c641a40a","LEGACY-22946-1900-FAE27D2B","","RETAIL","","INDIVIDUAL"
"1901","54578","8e2b46ea-4d61-5108-98ef-ce54e3dd0b49","LEGACY-54578-1901-DC302AA9","","RETAIL","","INDIVIDUAL"
"1902","64651","439e46b4-fbbe-51b2-ab8f-803162c3f7a8","LEGACY-64651-1902-F57945CF","","RETAIL","","INDIVIDUAL"
"1903","72420","43da6e2c-db57-5f84-b1d8-4b2cc6f9cf0c","LEGACY-72420-1903-5A00731F","","RETAIL","","INDIVIDUAL"
"1904","89752","202f8053-f00a-5c78-9fc1-27bbe8460e61","LEGACY-89752-1904-1339C798","","RETAIL","","INDIVIDUAL"
"1905","76938","22c9d647-8e78-54a5-9aff-dab3ddc4386e","LEGACY-76938-1905-623B2289","","RETAIL","","INDIVIDUAL"
"1906","45785","079c9813-657e-53f7-b888-3ced2f4071c2","LEGACY-45785-1906-A07674EF","","RETAIL","","INDIVIDUAL"
"1907","22748","affa6161-8886-5778-acf0-aa4920d0d59c","LEGACY-22748-1907-E1F24C15","","RETAIL","","INDIVIDUAL"
"1908","46481","eefa64f0-755c-5a84-a2f1-ea71cf1f970c","LEGACY-46481-1908-C93711F5","","RETAIL","","INDIVIDUAL"
"1909","21776","da77432a-00d4-5f9e-bf8c-74fddf64def1","LEGACY-21776-1909-8CBAEAF5","","RETAIL","","INDIVIDUAL"
"1910","94961","44b32c5f-8cf0-59f8-a496-1d79a9793b6e","LEGACY-94961-1910-10889DE7","","RETAIL","","INDIVIDUAL"
"1911","18868","a8d09bd5-9b66-5ddb-a5b3-c34b8b1df4e5","LEGACY-18868-1911-0E2E80F1","","RETAIL","","INDIVIDUAL"
"1912","42274","1ea8964f-a95c-563b-a6ac-deec8f8b90e6","LEGACY-42274-1912-15C4ACC0","","RETAIL","","INDIVIDUAL"
